,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,age,mileage (km),diesel_yn,petrol_yn,hybrid_yn,manual_yn,semi_automatic_yn,automatic_yn,A_Series_yn,T_Series_yn,S_Series_yn,R_Series_yn,Q_Series_yn,model_type
28, A4,2018,17200,Automatic,25138,Diesel,145,70.6,2.0,2,40456,1,0,0,0,0,1,1,0,0,0,0,A
29, A6,2015,14000,Manual,61176,Diesel,30,62.8,2.0,5,98453,1,0,0,1,0,0,1,0,0,0,0,A
30, A1,2015,9500,Automatic,54754,Diesel,0,76.3,1.6,5,88118,1,0,0,0,0,1,1,0,0,0,0,A
31, Q3,2017,16500,Manual,21369,Petrol,125,51.4,1.4,3,34390,0,1,0,1,0,0,0,0,0,0,1,Q
32, Q3,2014,15000,Automatic,39190,Diesel,205,47.9,2.0,6,63070,1,0,0,0,0,1,0,0,0,0,1,Q
33, Q3,2017,16000,Automatic,47482,Petrol,150,47.9,1.4,3,76415,0,1,0,0,0,1,0,0,0,0,1,Q
34, Q3,2016,16900,Automatic,40501,Diesel,150,51.4,2.0,4,65180,1,0,0,0,0,1,0,0,0,0,1,Q
35, Q3,2014,12300,Automatic,43195,Diesel,200,47.9,2.0,6,69515,1,0,0,0,0,1,0,0,0,0,1,Q
36, A1,2017,10800,Manual,31447,Petrol,145,67.3,1.0,3,50609,0,1,0,1,0,0,1,0,0,0,0,A
37, A6,2016,19400,Automatic,34030,Diesel,125,58.9,2.0,4,54766,1,0,0,0,0,1,1,0,0,0,0,A
38, A4,2017,16000,Manual,29063,Diesel,145,70.6,2.0,3,46772,1,0,0,1,0,0,1,0,0,0,0,A
39, A3,2017,17100,Manual,29545,Diesel,145,65.7,2.0,3,47548,1,0,0,1,0,0,1,0,0,0,0,A
40, A3,2015,11300,Manual,75619,Diesel,20,68.9,2.0,5,121697,1,0,0,1,0,0,1,0,0,0,0,A
41, Q3,2016,17200,Automatic,39603,Diesel,160,50.4,2.0,4,63735,1,0,0,0,0,1,0,0,0,0,1,Q
42, Q3,2017,20300,Automatic,42908,Diesel,145,51.4,2.0,3,69054,1,0,0,0,0,1,0,0,0,0,1,Q
43, A5,2014,13200,Automatic,83872,Diesel,125,58.9,2.0,6,134979,1,0,0,0,0,1,1,0,0,0,0,A
44, Q3,2016,15200,Automatic,58750,Petrol,145,47.9,1.4,4,94549,0,1,0,0,0,1,0,0,0,0,1,Q
45, A3,2019,15700,Manual,2029,Petrol,145,49.6,1.0,1,3265,0,1,0,1,0,0,1,0,0,0,0,A
46, A6,2018,16600,Automatic,22958,Petrol,145,50.4,1.8,2,36947,0,1,0,0,0,1,1,0,0,0,0,A
47, A4,2017,14400,Automatic,32097,Diesel,145,72.4,2.0,3,51655,1,0,0,0,0,1,1,0,0,0,0,A
48, A5,2017,20200,Automatic,13057,Petrol,145,53.3,2.0,3,21013,0,1,0,0,0,1,1,0,0,0,0,A
49, S4,2017,23700,Automatic,20278,Petrol,145,38.7,3.0,3,32634,0,1,0,0,0,1,0,0,1,0,0,S
50, A4,2016,12750,Manual,52561,Diesel,0,74.3,2.0,4,84589,1,0,0,1,0,0,1,0,0,0,0,A
51, A6,2015,13000,Automatic,31604,Diesel,20,67.3,2.0,5,50862,1,0,0,0,0,1,1,0,0,0,0,A
52, Q3,2016,15900,Manual,32011,Petrol,145,49.6,1.4,4,51517,0,1,0,1,0,0,0,0,0,0,1,Q
53, Q3,2016,15000,Manual,39134,Diesel,30,60.1,2.0,4,62980,1,0,0,1,0,0,0,0,0,0,1,Q
54, Q5,2015,14700,Automatic,89483,Diesel,205,47.1,2.0,5,144009,1,0,0,0,0,1,0,0,0,0,1,Q
55, A3,2015,15000,Automatic,56291,Petrol,200,42.8,1.8,5,90591,0,1,0,0,0,1,1,0,0,0,0,A
56, A6,2016,16000,Automatic,47767,Diesel,20,61.4,2.0,4,76873,1,0,0,0,0,1,1,0,0,0,0,A
57, A1,2014,11000,Manual,34315,Petrol,125,53.3,1.4,6,55225,0,1,0,1,0,0,1,0,0,0,0,A
58, A3,2016,10200,Manual,66369,Diesel,0,83.1,1.6,4,106810,1,0,0,1,0,0,1,0,0,0,0,A
59, A6,2016,18500,Manual,34110,Diesel,30,61.4,2.0,4,54895,1,0,0,1,0,0,1,0,0,0,0,A
60, A1,2013,7000,Manual,76269,Diesel,0,74.3,1.6,7,122743,1,0,0,1,0,0,1,0,0,0,0,A
61, A3,2016,10600,Manual,37840,Diesel,20,70.6,1.6,4,60897,1,0,0,1,0,0,1,0,0,0,0,A
62, A3,2017,16000,Manual,26249,Diesel,30,67.3,1.6,3,42244,1,0,0,1,0,0,1,0,0,0,0,A
63, Q3,2017,15000,Manual,44898,Diesel,125,57.7,2.0,3,72256,1,0,0,1,0,0,0,0,0,0,1,Q
64, Q3,2017,14000,Manual,67161,Petrol,150,51.4,1.4,3,108085,0,1,0,1,0,0,0,0,0,0,1,Q
65, A3,2018,18950,Manual,17992,Petrol,150,54.3,1.5,2,28955,0,1,0,1,0,0,1,0,0,0,0,A
66, A4,2016,10200,Manual,97440,Diesel,20,70.6,2.0,4,156814,1,0,0,1,0,0,1,0,0,0,0,A
67, A1,2017,11700,Manual,19268,Petrol,150,67.3,1.0,3,31009,0,1,0,1,0,0,1,0,0,0,0,A
68, A3,2013,11500,Automatic,51441,Petrol,125,50.4,1.8,7,82786,0,1,0,0,0,1,1,0,0,0,0,A
69, A1,2016,10800,Manual,18181,Petrol,0,67.3,1.0,4,29259,0,1,0,1,0,0,1,0,0,0,0,A
70, A3,2016,12500,Manual,19494,Diesel,30,67.3,2.0,4,31372,1,0,0,1,0,0,1,0,0,0,0,A
71, A6,2016,16600,Manual,32808,Diesel,30,61.4,2.0,4,52799,1,0,0,1,0,0,1,0,0,0,0,A
72, A3,2017,13100,Manual,25965,Diesel,145,65.7,2.0,3,41787,1,0,0,1,0,0,1,0,0,0,0,A
73, A3,2016,8300,Manual,88215,Diesel,20,68.9,2.0,4,141968,1,0,0,1,0,0,1,0,0,0,0,A
74, A3,2019,16000,Manual,5704,Petrol,145,49.6,1.0,1,9180,0,1,0,1,0,0,1,0,0,0,0,A
75, A4,2017,16900,Manual,10959,Petrol,145,51.4,1.4,3,17637,0,1,0,1,0,0,1,0,0,0,0,A
76, Q5,2016,19600,Automatic,30201,Diesel,200,47.1,2.0,4,48604,1,0,0,0,0,1,0,0,0,0,1,Q
77, Q3,2017,21800,Automatic,19319,Petrol,145,40.4,2.0,3,31091,0,1,0,0,0,1,0,0,0,0,1,Q
78, A6,2017,16200,Manual,22582,Diesel,145,61.4,2.0,3,36342,1,0,0,1,0,0,1,0,0,0,0,A
79, A5,2017,18700,Manual,20052,Petrol,145,49.6,2.0,3,32270,0,1,0,1,0,0,1,0,0,0,0,A
80, Q3,2016,16100,Manual,16666,Diesel,30,60.1,2.0,4,26821,1,0,0,1,0,0,0,0,0,0,1,Q
81, A3,2016,11300,Manual,25626,Diesel,0,74.3,1.6,4,41241,1,0,0,1,0,0,1,0,0,0,0,A
82, A3,2016,14100,Manual,10460,Petrol,20,60.1,1.4,4,16834,0,1,0,1,0,0,1,0,0,0,0,A
83, A6,2016,16600,Automatic,43307,Diesel,125,57.6,2.0,4,69696,1,0,0,0,0,1,1,0,0,0,0,A
84, A1,2017,11300,Manual,29327,Petrol,30,55.4,1.4,3,47197,0,1,0,1,0,0,1,0,0,0,0,A
85, Q3,2017,15600,Manual,36714,Petrol,125,51.4,1.4,3,59085,0,1,0,1,0,0,0,0,0,0,1,Q
86, A1,2014,10000,Manual,28324,Petrol,125,53.3,1.4,6,45583,0,1,0,1,0,0,1,0,0,0,0,A
87, A1,2016,14500,Manual,12100,Petrol,30,56.5,1.4,4,19473,0,1,0,1,0,0,1,0,0,0,0,A
88, Q3,2017,16100,Manual,18001,Diesel,145,62.8,2.0,3,28970,1,0,0,1,0,0,0,0,0,0,1,Q
89, A1,2016,10600,Manual,28760,Petrol,30,55.4,1.4,4,46285,0,1,0,1,0,0,1,0,0,0,0,A
90, A3,2019,25499,Semi-Auto,4000,Petrol,145,44.1,1.5,1,6437,0,1,0,0,1,0,1,0,0,0,0,A
91, Q2,2019,25499,Semi-Auto,7897,Diesel,145,47.9,2.0,1,12709,1,0,0,0,1,0,0,0,0,0,1,Q
92, A6,2016,15500,Automatic,24744,Diesel,125,56.5,3.0,4,39822,1,0,0,0,0,1,1,0,0,0,0,A
93, Q3,2015,16200,Automatic,30075,Diesel,160,51.4,2.0,5,48401,1,0,0,0,0,1,0,0,0,0,1,Q
94, A1,2017,14000,Manual,12577,Petrol,30,58.9,1.4,3,20241,0,1,0,1,0,0,1,0,0,0,0,A
95, A6,2016,17300,Automatic,24421,Diesel,30,61.4,2.0,4,39302,1,0,0,0,0,1,1,0,0,0,0,A
96, A1,2016,10600,Manual,15567,Diesel,0,76.3,1.6,4,25053,1,0,0,1,0,0,1,0,0,0,0,A
97, A4,2018,17500,Manual,15207,Petrol,145,51.4,1.4,2,24473,0,1,0,1,0,0,1,0,0,0,0,A
98, A4,2017,15000,Manual,14864,Petrol,145,52.3,1.4,3,23921,0,1,0,1,0,0,1,0,0,0,0,A
99, A4,2019,25499,Semi-Auto,9000,Petrol,145,38.7,2.0,1,14484,0,1,0,0,1,0,1,0,0,0,0,A
100, A4,2019,25000,Manual,5000,Petrol,145,38.7,2.0,1,8047,0,1,0,1,0,0,1,0,0,0,0,A
101, Q2,2019,31000,Semi-Auto,4264,Petrol,145,33.2,2.0,1,6862,0,1,0,0,1,0,0,0,0,0,1,Q
102, Q3,2019,28000,Manual,4000,Diesel,145,42.8,2.0,1,6437,1,0,0,1,0,0,0,0,0,0,1,Q
103, Q3,2019,28000,Manual,4000,Petrol,145,42.2,1.5,1,6437,0,1,0,1,0,0,0,0,0,0,1,Q
104, Q2,2019,21499,Manual,2721,Diesel,145,49.6,1.6,1,4379,1,0,0,1,0,0,0,0,0,0,1,Q
105, Q2,2019,26000,Semi-Auto,4000,Petrol,145,42.2,1.5,1,6437,0,1,0,0,1,0,0,0,0,0,1,Q
106, Q5,2016,30000,Semi-Auto,49649,Diesel,235,42.2,3.0,4,79902,1,0,0,0,1,0,0,0,0,0,1,Q
107, A4,2017,17000,Manual,14068,Petrol,145,51.4,1.4,3,22640,0,1,0,1,0,0,1,0,0,0,0,A
108, A4,2017,14500,Manual,23092,Petrol,145,52.3,1.4,3,37163,0,1,0,1,0,0,1,0,0,0,0,A
109, Q3,2017,17500,Automatic,30682,Diesel,160,50.4,2.0,3,49378,1,0,0,0,0,1,0,0,0,0,1,Q
110, A1,2016,10500,Manual,18272,Petrol,0,67.3,1.0,4,29406,0,1,0,1,0,0,1,0,0,0,0,A
111, Q2,2017,14800,Automatic,23714,Diesel,145,68.9,1.6,3,38164,1,0,0,0,0,1,0,0,0,0,1,Q
112, A6,2016,12000,Automatic,71311,Diesel,30,61.4,2.0,4,114764,1,0,0,0,0,1,1,0,0,0,0,A
113, A6,2018,22000,Automatic,29477,Diesel,145,61.4,2.0,2,47439,1,0,0,0,0,1,1,0,0,0,0,A
114, Q5,2016,17800,Automatic,60551,Diesel,200,47.1,2.0,4,97447,1,0,0,0,0,1,0,0,0,0,1,Q
115, A6,2017,19800,Automatic,42071,Diesel,30,61.4,2.0,3,67707,1,0,0,0,0,1,1,0,0,0,0,A
116, A7,2014,19500,Automatic,55774,Diesel,235,44.8,3.0,6,89759,1,0,0,0,0,1,1,0,0,0,0,A
117, A1,2016,9800,Manual,36462,Diesel,0,76.3,1.6,4,58680,1,0,0,1,0,0,1,0,0,0,0,A
118, A3,2016,15500,Manual,25376,Petrol,30,57.6,1.4,4,40839,0,1,0,1,0,0,1,0,0,0,0,A
119, A4,2017,16800,Automatic,39388,Diesel,145,67.3,2.0,3,63389,1,0,0,0,0,1,1,0,0,0,0,A
120, A3,2017,11500,Manual,64207,Diesel,20,67.3,2.0,3,103331,1,0,0,1,0,0,1,0,0,0,0,A
121, A1,2017,12100,Manual,49221,Petrol,145,55.4,1.4,3,79213,0,1,0,1,0,0,1,0,0,0,0,A
122, A1,2017,12700,Manual,27179,Diesel,0,76.3,1.6,3,43740,1,0,0,1,0,0,1,0,0,0,0,A
123, A4,2014,11700,Manual,31376,Diesel,125,58.9,2.0,6,50495,1,0,0,1,0,0,1,0,0,0,0,A
124, A5,2015,11500,Automatic,62668,Diesel,145,53.3,2.0,5,100854,1,0,0,0,0,1,1,0,0,0,0,A
125, A4,2017,17400,Manual,10001,Petrol,145,51.4,1.4,3,16095,0,1,0,1,0,0,1,0,0,0,0,A
126, A6,2016,16000,Automatic,52544,Diesel,30,61.4,2.0,4,84561,1,0,0,0,0,1,1,0,0,0,0,A
127, A4,2016,13100,Manual,63097,Petrol,125,49.6,2.0,4,101545,0,1,0,1,0,0,1,0,0,0,0,A
128, A6,2016,14700,Manual,72967,Diesel,30,61.4,2.0,4,117429,1,0,0,1,0,0,1,0,0,0,0,A
129, A5,2017,21100,Automatic,32771,Diesel,145,70.6,2.0,3,52740,1,0,0,0,0,1,1,0,0,0,0,A
130, Q3,2018,24400,Automatic,13303,Petrol,145,40.4,2.0,2,21409,0,1,0,0,0,1,0,0,0,0,1,Q
131, A3,2019,18750,Manual,2752,Petrol,145,44.8,1.5,1,4429,0,1,0,1,0,0,1,0,0,0,0,A
132, Q3,2016,16500,Manual,23307,Diesel,160,49.6,2.0,4,37509,1,0,0,1,0,0,0,0,0,0,1,Q
133, A1,2017,11000,Manual,34551,Petrol,150,67.3,1.0,3,55604,0,1,0,1,0,0,1,0,0,0,0,A
134, A3,2017,13400,Manual,25457,Diesel,150,68.9,1.6,3,40969,1,0,0,1,0,0,1,0,0,0,0,A
135, Q2,2018,20000,Manual,12167,Petrol,150,50.4,1.4,2,19581,0,1,0,1,0,0,0,0,0,0,1,Q
136, A6,2015,15400,Automatic,23237,Diesel,20,67.3,2.0,5,37396,1,0,0,0,0,1,1,0,0,0,0,A
137, Q3,2016,15500,Automatic,11863,Diesel,160,50.4,2.0,4,19092,1,0,0,0,0,1,0,0,0,0,1,Q
138, A4,2017,14800,Manual,21225,Diesel,145,72.4,2.0,3,34158,1,0,0,1,0,0,1,0,0,0,0,A
139, A6,2015,17100,Automatic,32083,Diesel,30,61.4,2.0,5,51632,1,0,0,0,0,1,1,0,0,0,0,A
140, Q5,2017,25750,Automatic,17039,Diesel,145,55.4,2.0,3,27422,1,0,0,0,0,1,0,0,0,0,1,Q
141, A4,2016,11750,Manual,72026,Diesel,0,74.3,2.0,4,115914,1,0,0,1,0,0,1,0,0,0,0,A
142, A1,2017,11200,Manual,34824,Petrol,0,67.3,1.0,3,56044,0,1,0,1,0,0,1,0,0,0,0,A
143, A1,2017,12800,Manual,20351,Petrol,30,55.4,1.4,3,32752,0,1,0,1,0,0,1,0,0,0,0,A
144, A4,2017,16000,Automatic,58028,Petrol,145,52.3,2.0,3,93387,0,1,0,0,0,1,1,0,0,0,0,A
145, A5,2017,20000,Automatic,44783,Diesel,145,62.8,2.0,3,72071,1,0,0,0,0,1,1,0,0,0,0,A
146, A4,2014,11950,Manual,60604,Diesel,20,67.3,2.0,6,97532,1,0,0,1,0,0,1,0,0,0,0,A
147, A4,2013,9400,Manual,39998,Diesel,30,65.7,2.0,7,64370,1,0,0,1,0,0,1,0,0,0,0,A
148, A4,2017,20000,Automatic,20852,Diesel,30,65.7,2.0,3,33558,1,0,0,0,0,1,1,0,0,0,0,A
149, A6,2016,13300,Manual,79728,Diesel,30,64.2,2.0,4,128309,1,0,0,1,0,0,1,0,0,0,0,A
150, A6,2017,18500,Automatic,29095,Diesel,20,64.2,2.0,3,46824,1,0,0,0,0,1,1,0,0,0,0,A
151, A3,2013,8300,Manual,98940,Diesel,0,74.3,1.6,7,159228,1,0,0,1,0,0,1,0,0,0,0,A
152, A1,2016,13500,Manual,22780,Petrol,30,58.9,1.4,4,36661,0,1,0,1,0,0,1,0,0,0,0,A
153, A5,2018,19800,Manual,20832,Petrol,150,47.1,2.0,2,33526,0,1,0,1,0,0,1,0,0,0,0,A
154, Q3,2016,15400,Automatic,29196,Diesel,145,55.4,2.0,4,46986,1,0,0,0,0,1,0,0,0,0,1,Q
155, A4,2017,13900,Manual,14392,Petrol,145,53.3,1.4,3,23162,0,1,0,1,0,0,1,0,0,0,0,A
156, A4,2018,15600,Manual,20070,Petrol,145,52.3,1.4,2,32299,0,1,0,1,0,0,1,0,0,0,0,A
157, A6,2016,16200,Automatic,89334,Diesel,30,62.8,3.0,4,143769,1,0,0,0,0,1,1,0,0,0,0,A
158, A1,2016,10600,Manual,21428,Petrol,0,67.3,1.0,4,34485,0,1,0,1,0,0,1,0,0,0,0,A
159, A4,2016,14300,Manual,45485,Diesel,20,70.6,2.0,4,73201,1,0,0,1,0,0,1,0,0,0,0,A
160, Q3,2016,14700,Manual,32704,Diesel,30,60.1,2.0,4,52632,1,0,0,1,0,0,0,0,0,0,1,Q
161, Q3,2018,19100,Automatic,42209,Petrol,145,42.2,2.0,2,67929,0,1,0,0,0,1,0,0,0,0,1,Q
162, A4,2017,18100,Manual,17278,Petrol,145,48.7,1.4,3,27806,0,1,0,1,0,0,1,0,0,0,0,A
163, A1,2017,11400,Manual,29515,Petrol,0,67.3,1.0,3,47500,0,1,0,1,0,0,1,0,0,0,0,A
164, A3,2014,11600,Manual,43662,Diesel,20,67.3,2.0,6,70267,1,0,0,1,0,0,1,0,0,0,0,A
165, A4,2017,17300,Automatic,45225,Diesel,145,62.8,2.0,3,72782,1,0,0,0,0,1,1,0,0,0,0,A
166, A6,2017,16400,Manual,45491,Diesel,30,61.4,2.0,3,73210,1,0,0,1,0,0,1,0,0,0,0,A
167, Q5,2014,17100,Manual,52267,Petrol,235,37.7,2.0,6,84115,0,1,0,1,0,0,0,0,0,0,1,Q
168, A3,2014,11498,Semi-Auto,40807,Petrol,125,50.4,1.8,6,65672,0,1,0,0,1,0,1,0,0,0,0,A
169, Q3,2014,11698,Manual,65959,Diesel,160,49.6,2.0,6,106150,1,0,0,1,0,0,0,0,0,0,1,Q
170, Q5,2014,18998,Semi-Auto,47648,Petrol,260,35.8,2.0,6,76682,0,1,0,0,1,0,0,0,0,0,1,Q
171, Q5,2017,25498,Semi-Auto,27948,Petrol,145,40.9,2.0,3,44978,0,1,0,0,1,0,0,0,0,0,1,Q
172, A4,2013,10498,Manual,31169,Petrol,145,49.6,1.8,7,50162,0,1,0,1,0,0,1,0,0,0,0,A
173, A4,2013,9498,Automatic,42011,Petrol,145,47.1,2.0,7,67610,0,1,0,0,0,1,1,0,0,0,0,A
174, A6,2015,19998,Semi-Auto,56115,Diesel,160,50.4,3.0,5,90308,1,0,0,0,1,0,1,0,0,0,0,A
175, A6,2015,16798,Semi-Auto,65835,Diesel,125,61.4,2.0,5,105951,1,0,0,0,1,0,1,0,0,0,0,A
176, A6,2017,23998,Semi-Auto,63383,Diesel,145,45.6,3.0,3,102005,1,0,0,0,1,0,1,0,0,0,0,A
177, Q5,2017,36998,Semi-Auto,34011,Petrol,145,34.0,3.0,3,54735,0,1,0,0,1,0,0,0,0,0,1,Q
178, A5,2014,13998,Semi-Auto,52132,Diesel,160,49.6,3.0,6,83898,1,0,0,0,1,0,1,0,0,0,0,A
179, A4,2015,15995,Manual,38787,Diesel,145,55.4,2.0,5,62421,1,0,0,1,0,0,1,0,0,0,0,A
180, A1,2017,13495,Manual,34554,Petrol,150,55.4,1.4,3,55609,0,1,0,1,0,0,1,0,0,0,0,A
181, Q5,2017,30985,Semi-Auto,17502,Petrol,145,40.4,2.0,3,28167,0,1,0,0,1,0,0,0,0,0,1,Q
182, TT,2019,29485,Automatic,3000,Petrol,145,40.9,2.0,1,4828,0,1,0,0,0,1,0,1,0,0,0,T
183, A6,2015,16985,Manual,34646,Diesel,30,61.4,2.0,5,55757,1,0,0,1,0,0,1,0,0,0,0,A
184, Q5,2017,26485,Semi-Auto,18000,Diesel,150,56.5,2.0,3,28968,1,0,0,0,1,0,0,0,0,0,1,Q
185, Q3,2018,23985,Semi-Auto,17085,Petrol,150,47.9,1.4,2,27496,0,1,0,0,1,0,0,0,0,0,1,Q
186, A1,2017,12485,Manual,48166,Diesel,20,72.4,1.6,3,77515,1,0,0,1,0,0,1,0,0,0,0,A
187, Q5,2015,22485,Semi-Auto,38421,Diesel,205,47.1,2.0,5,61832,1,0,0,0,1,0,0,0,0,0,1,Q
188, A5,2015,16498,Manual,46637,Diesel,30,61.4,2.0,5,75055,1,0,0,1,0,0,1,0,0,0,0,A
189, A3,2016,11998,Manual,24468,Diesel,0,74.3,1.6,4,39377,1,0,0,1,0,0,1,0,0,0,0,A
190, Q5,2017,24985,Automatic,29343,Diesel,200,47.1,2.0,3,47223,1,0,0,0,0,1,0,0,0,0,1,Q
191, A3,2019,17985,Manual,8449,Diesel,145,51.4,1.6,1,13597,1,0,0,1,0,0,1,0,0,0,0,A
192, A5,2017,20485,Manual,34679,Diesel,30,65.7,2.0,3,55810,1,0,0,1,0,0,1,0,0,0,0,A
193, A3,2018,16985,Semi-Auto,23860,Petrol,145,60.1,1.0,2,38399,0,1,0,0,1,0,1,0,0,0,0,A
194, A4,2018,30985,Automatic,21009,Petrol,145,35.8,3.0,2,33811,0,1,0,0,0,1,1,0,0,0,0,A
195, A6,2019,29985,Automatic,1881,Diesel,145,47.9,2.0,1,3027,1,0,0,0,0,1,1,0,0,0,0,A
196, A6,2019,27985,Semi-Auto,688,Diesel,145,47.9,2.0,1,1107,1,0,0,0,1,0,1,0,0,0,0,A
197, A6,2019,30985,Automatic,1863,Diesel,145,47.9,2.0,1,2998,1,0,0,0,0,1,1,0,0,0,0,A
198, Q7,2020,62985,Semi-Auto,10,Diesel,145,33.2,3.0,0,16,1,0,0,0,1,0,0,0,0,0,1,Q
199, RS6,2016,44985,Semi-Auto,49050,Petrol,325,29.4,4.0,4,78938,0,1,0,0,1,0,0,0,1,1,0,R
200, A4,2019,28985,Semi-Auto,1024,Petrol,145,38.7,2.0,1,1648,0,1,0,0,1,0,1,0,0,0,0,A
201, A4,2019,24985,Semi-Auto,448,Petrol,145,39.8,2.0,1,721,0,1,0,0,1,0,1,0,0,0,0,A
202, A4,2019,26985,Semi-Auto,476,Petrol,145,39.2,2.0,1,766,0,1,0,0,1,0,1,0,0,0,0,A
203, A7,2019,39985,Automatic,5201,Diesel,145,38.7,3.0,1,8370,1,0,0,0,0,1,1,0,0,0,0,A
204, A3,2019,21985,Semi-Auto,2028,Petrol,145,42.2,1.5,1,3264,0,1,0,0,1,0,1,0,0,0,0,A
205, A6,2019,45485,Automatic,3241,Diesel,145,39.2,3.0,1,5216,1,0,0,0,0,1,1,0,0,0,0,A
206, Q5,2019,33985,Automatic,355,Diesel,145,39.2,2.0,1,571,1,0,0,0,0,1,0,0,0,0,1,Q
207, A5,2019,28985,Automatic,18,Petrol,145,39.8,2.0,1,29,0,1,0,0,0,1,1,0,0,0,0,A
208, A3,2019,29985,Automatic,3122,Petrol,145,41.5,1.5,1,5024,0,1,0,0,0,1,1,0,0,0,0,A
209, Q2,2019,28985,Manual,824,Petrol,145,40.9,1.5,1,1326,0,1,0,1,0,0,0,0,0,0,1,Q
210, A6,2019,31985,Semi-Auto,2811,Diesel,145,47.9,2.0,1,4524,1,0,0,0,1,0,1,0,0,0,0,A
211, A6,2019,31985,Semi-Auto,27,Diesel,145,50.4,2.0,1,43,1,0,0,0,1,0,1,0,0,0,0,A
212, A4,2019,29485,Semi-Auto,4254,Petrol,145,38.2,2.0,1,6846,0,1,0,0,1,0,1,0,0,0,0,A
213, A1,2019,17985,Semi-Auto,2252,Petrol,145,48.7,1.0,1,3624,0,1,0,0,1,0,1,0,0,0,0,A
214, Q2,2019,20985,Automatic,3422,Diesel,145,47.9,1.6,1,5507,1,0,0,0,0,1,0,0,0,0,1,Q
215, Q2,2019,23685,Automatic,37,Diesel,145,47.9,1.6,1,60,1,0,0,0,0,1,0,0,0,0,1,Q
